n,k,output,accuracy,f1score
16,2,oxidizer,0.9615384615384616,0.9473684210526315
16,2,compressed_gas,0.9615384615384616,0.9425287356321839
16,2,explosive,0.9769230769230769,0.96
16,3,oxidizer,0.9384615384615385,0.8888888888888888
16,3,compressed_gas,0.9,0.8602150537634409
16,3,explosive,0.9615384615384616,0.945054945054945
17,1,oxidizer,0.9461538461538461,0.9156626506024096
17,1,compressed_gas,0.9461538461538461,0.9156626506024096
17,1,explosive,0.9846153846153847,0.9782608695652174
17,2,oxidizer,0.9615384615384616,0.9473684210526315
17,2,compressed_gas,0.9384615384615385,0.9148936170212766
17,2,explosive,0.9769230769230769,0.958904109589041
17,3,oxidizer,0.9538461538461539,0.9210526315789473
17,3,compressed_gas,0.9307692307692308,0.9032258064516129
17,3,explosive,0.9615384615384616,0.945054945054945
18,1,oxidizer,0.9538461538461539,0.9333333333333333
18,1,compressed_gas,0.9615384615384616,0.9438202247191011
18,1,explosive,0.9615384615384616,0.9382716049382716
18,2,oxidizer,0.9384615384615385,0.9148936170212766
18,2,compressed_gas,0.9538461538461539,0.9361702127659575
18,2,explosive,0.9846153846153847,0.9722222222222222
18,3,oxidizer,0.9230769230769231,0.8611111111111112
18,3,compressed_gas,0.8615384615384616,0.7906976744186046
18,3,explosive,0.9461538461538461,0.9306930693069307
19,1,oxidizer,0.9538461538461539,0.9333333333333333
19,1,compressed_gas,0.9076923076923077,0.8461538461538461
19,1,explosive,0.9384615384615385,0.9069767441860465
19,2,oxidizer,0.9538461538461539,0.9347826086956522
19,2,compressed_gas,0.9538461538461539,0.9375
19,2,explosive,0.9769230769230769,0.9565217391304348
19,3,oxidizer,0.9384615384615385,0.8918918918918919
19,3,compressed_gas,0.9384615384615385,0.9111111111111111
19,3,explosive,0.9692307692307692,0.9591836734693877
20,1,oxidizer,0.9538461538461539,0.9361702127659575
20,1,compressed_gas,0.9615384615384616,0.9473684210526315
20,1,explosive,0.9769230769230769,0.9565217391304348
20,2,oxidizer,0.9769230769230769,0.9655172413793104
20,2,compressed_gas,0.9461538461538461,0.9213483146067416
20,2,explosive,0.9769230769230769,0.963855421686747
20,3,oxidizer,0.9461538461538461,0.9066666666666666
20,3,compressed_gas,0.9307692307692308,0.8860759493670886
20,3,explosive,0.9461538461538461,0.9320388349514563
