n,k,output,accuracy,f1score
5,2,flammable,0.998125058591919,0.9952852428099953
5,3,corrosive,0.9970935683480218,0.9925426990618235
5,3,environmental_hazard,0.9989686855428465,0.9974317067476068
5,3,acute_toxic,1.0,1.0
5,3,health_hazard,1.0,1.0
5,3,flammable,0.9974685917869867,0.9935080548208705
6,1,corrosive,0.9951251523389895,0.9875239923224568
6,1,environmental_hazard,0.9995312646479797,0.9988320485867788
6,1,acute_toxic,1.0,1.0
6,1,health_hazard,1.0,1.0
6,1,flammable,0.9961563701134339,0.9906114037096405
6,2,corrosive,0.9972813349582825,0.99312307327484
6,2,environmental_hazard,0.9989687822255554,0.9974172340925099
6,2,acute_toxic,1.0,1.0
6,2,health_hazard,1.0,1.0
6,2,flammable,0.9970938408174744,0.9927041656860438
6,3,corrosive,0.9969060566285393,0.9923380543301602
6,3,environmental_hazard,0.9990624414025877,0.9976403964134025
6,3,acute_toxic,1.0,1.0
6,3,health_hazard,1.0,1.0
6,3,flammable,0.998031126945434,0.9948917538311847
7,1,corrosive,0.9985000468735352,0.996219281663516
7,1,environmental_hazard,0.9988750351551514,0.9971126082771896
7,1,acute_toxic,1.0,1.0
7,1,health_hazard,1.0,1.0
7,1,flammable,0.9961563701134339,0.990364277320799
7,2,corrosive,0.9969063466766663,0.992030910408114
7,2,environmental_hazard,0.9987812880847473,0.9969956089669517
7,2,acute_toxic,1.0,1.0
7,2,health_hazard,1.0,1.0
7,2,flammable,0.9977500703103028,0.9945180447693011
7,3,corrosive,0.997187324207763,0.9931097841065687
7,3,environmental_hazard,0.9984061503843991,0.996027109137649
7,3,acute_toxic,1.0,1.0
7,3,health_hazard,1.0,1.0
7,3,flammable,0.9970935683480218,0.9924223906135419
8,1,corrosive,0.9953126464797976,0.9881009043312708
8,1,environmental_hazard,0.9986875410143433,0.9966650786088613
8,1,acute_toxic,1.0,1.0
8,1,health_hazard,1.0,1.0
8,1,flammable,0.9972813349582825,0.9931198102016607
8,2,corrosive,0.99606262304303,0.9902006532897807
8,2,environmental_hazard,0.9985937939439392,0.9965588437715073
8,2,acute_toxic,1.0,1.0
8,2,health_hazard,1.0,1.0
8,2,flammable,0.998218805662323,0.995438175270108
8,3,corrosive,0.9969060566285393,0.9921372408863474
8,3,environmental_hazard,0.998781173823364,0.9969128473046782
8,3,acute_toxic,1.0,1.0
8,3,health_hazard,1.0,1.0
8,3,flammable,0.9977498593662104,0.9944903581267218
9,1,corrosive,0.9956876347614138,0.9892923649906891
9,1,environmental_hazard,0.9993437705071716,0.9983663943990665
9,1,acute_toxic,1.0,1.0
9,1,health_hazard,1.0,1.0
9,1,flammable,0.9968125996062623,0.9917194349732099
9,2,corrosive,0.9979375644511109,0.9947842579421526
9,2,environmental_hazard,0.9991562763663635,0.9979132854161836
9,2,acute_toxic,1.0,1.0
9,2,health_hazard,1.0,1.0
9,2,flammable,0.9984062998031311,0.9960802397970948
9,3,corrosive,0.9973748359272454,0.9933237958989032
9,3,environmental_hazard,0.9989686855428465,0.9973652694610778
9,3,acute_toxic,1.0,1.0
9,3,health_hazard,1.0,1.0
9,3,flammable,0.9965310331895744,0.9913732804849615
10,1,corrosive,0.9966251054654542,0.9918772563176895
10,1,environmental_hazard,0.9990625292959595,0.9976292081555239
10,1,acute_toxic,1.0,1.0
10,1,health_hazard,1.0,1.0
10,1,flammable,0.9972813349582825,0.993149066855658
10,2,corrosive,0.9957813818318177,0.9891435464414958
10,2,environmental_hazard,0.998218805662323,0.9955241460541814
10,2,acute_toxic,1.0,1.0
10,2,health_hazard,1.0,1.0
10,2,flammable,0.9972813349582825,0.99312307327484
10,3,corrosive,0.996812300768798,0.9917435648372996
10,3,environmental_hazard,0.9988749296831052,0.99721059972106
10,3,acute_toxic,1.0,1.0
10,3,health_hazard,0.9999062441402587,0.9997664097173558
10,3,flammable,0.9964372773298331,0.9911007025761124
11,1,corrosive,0.9964376113246461,0.9910250354274918
11,1,environmental_hazard,0.9983125527327271,0.9956896551724138
11,1,acute_toxic,1.0,1.0
11,1,health_hazard,1.0,1.0
11,1,flammable,0.9975625761694947,0.993899577663069
11,2,corrosive,0.9973750820286866,0.9933899905571294
11,2,environmental_hazard,0.9991562763663635,0.9979190751445086
11,2,acute_toxic,1.0,1.0
11,2,health_hazard,1.0,1.0
11,2,flammable,0.996250117183838,0.9905078310393926
11,3,corrosive,0.9965310331895744,0.9912756425371375
11,3,environmental_hazard,0.998781173823364,0.9969519343493553
11,3,acute_toxic,1.0,1.0
11,3,health_hazard,1.0,1.0
11,3,flammable,0.9976561035064692,0.9941162626500353
12,1,corrosive,0.9959688759726258,0.9902868759882539
12,1,environmental_hazard,0.9990625292959595,0.9976958525345622
12,1,acute_toxic,1.0,1.0
12,1,health_hazard,1.0,1.0
12,1,flammable,0.9974688290990906,0.9935111751982696
12,2,corrosive,0.9970938408174744,0.9926137717417203
12,2,environmental_hazard,0.9991562763663635,0.9978043425225664
12,2,acute_toxic,1.0,1.0
12,2,health_hazard,1.0,1.0
12,2,flammable,0.996250117183838,0.990727862772369
12,3,corrosive,0.9966247890493156,0.9911634756995582
12,3,environmental_hazard,0.9988749296831052,0.997228637413395
12,3,acute_toxic,1.0,1.0
12,3,health_hazard,1.0,1.0
12,3,flammable,0.998031126945434,0.9950646298472385
13,1,corrosive,0.9972813349582825,0.9931684334511189
13,1,environmental_hazard,0.9974688290990906,0.9936395759717315
13,1,acute_toxic,1.0,1.0
13,1,health_hazard,1.0,1.0
13,1,flammable,0.9973750820286866,0.993439550140581
13,2,corrosive,0.9951251523389895,0.987758945386064
13,2,environmental_hazard,0.9989687822255554,0.9973927470964684
13,2,acute_toxic,0.9999062529295959,0.9997710098465766
13,2,health_hazard,1.0,1.0
13,2,flammable,0.9971875878878785,0.9929544387036168
13,3,corrosive,0.9972810800675043,0.9930968816948346
13,3,environmental_hazard,0.9996249765610351,0.99907019990702
13,3,acute_toxic,1.0,1.0
13,3,health_hazard,1.0,1.0
13,3,flammable,0.9969060566285393,0.9921409859490354
14,1,corrosive,0.9984062998031311,0.9960084526884245
14,1,environmental_hazard,0.9995312646479797,0.9987861131342559
14,1,acute_toxic,1.0,1.0
14,1,health_hazard,1.0,1.0
14,1,flammable,0.9972813349582825,0.9931972789115646
14,2,corrosive,0.9959688759726258,0.9899273834621691
14,2,environmental_hazard,0.9994375175775757,0.998641304347826
14,2,acute_toxic,1.0,1.0
14,2,health_hazard,1.0,1.0
14,2,flammable,0.9975625761694947,0.9939280709948622
