k,n,output,accuracy,f1score
2,6,Compressed Gas,0.9991670633031889,0.5333333333333333
2,6,Corrosive,0.9615659209900047,0.8445620789220404
2,6,Environmental Hazard,0.9452046644455021,0.40567864056786407
2,6,Explosive,0.9991868951293035,0.08888888888888889
2,6,Flammable,0.9737426622243376,0.6400217509516042
2,6,Health Hazard,0.9575598921148659,0.555463232239302
2,6,Irritant,0.7688402348088212,0.8420981332466336
2,6,Oxidizer,0.9988894177375853,0.391304347826087
2,6,nan,0.834662065683008,0.4949415399527473
3,6,Acute Toxic,0.9595430747263208,0.6082949308755761
3,6,Compressed Gas,0.9991273996509599,0.5111111111111111
3,6,Corrosive,0.9611296208154847,0.840104421602219
3,6,Environmental Hazard,0.9417539267015707,0.3776223776223776
3,6,Explosive,0.9990480723465016,0.04
3,6,Flammable,0.9736236712676504,0.6171560161197467
3,6,Health Hazard,0.9585514834205934,0.5669291338582677
3,6,Irritant,0.7673925115024591,0.840606101787049
3,6,Oxidizer,0.9986117721719816,0.3269230769230769
3,6,nan,0.8345629065524354,0.49728817644931905
1,7,Acute Toxic,0.9575805651958355,0.5984606720480571
1,7,Compressed Gas,0.9990480912245909,0.5555555555555556
1,7,Corrosive,0.9592662369856222,0.8348609101141663
1,7,Environmental Hazard,0.942310361923649,0.3918043069203429
1,7,Explosive,0.999067922657412,0.11320754716981132
1,7,Flammable,0.9755478433316808,0.6513994910941476
1,7,Health Hazard,0.9556767476450173,0.5454545454545454
1,7,Irritant,0.7659692612791275,0.8395447808884114
1,7,Oxidizer,0.9988101140307387,0.3333333333333333
1,7,nan,0.8356965790778383,0.49948649791578564
2,7,Acute Toxic,0.9600983658575282,0.610077519379845
2,7,Compressed Gas,0.9990480723465016,0.52
2,7,Corrosive,0.9629938124702523,0.8471494102228048
2,7,Environmental Hazard,0.9451055053149294,0.41306191687871074
2,7,Explosive,0.9991273996509599,0.15384615384615385
2,7,Flammable,0.9726122481358084,0.6149986060775021
2,7,Health Hazard,0.9564294780263367,0.5456049638055843
2,7,Irritant,0.7662620974139299,0.8405573593073593
2,7,Oxidizer,0.998770426780898,0.39215686274509803
2,7,nan,0.8339084562906552,0.49041679342865835
3,7,Acute Toxic,0.9588489608123116,0.5993435026066808
3,7,Compressed Gas,0.9991472314770744,0.5473684210526316
3,7,Corrosive,0.9612089481199428,0.8434699103713188
3,7,Environmental Hazard,0.9434396319213073,0.38666666666666666
3,7,Explosive,0.9992662224337617,0.13953488372093023
3,7,Flammable,0.9726519117880374,0.6144814090019569
3,7,Health Hazard,0.9563104870696494,0.5462409886714727
3,7,Irritant,0.7672338568935427,0.8405883711138576
3,7,Oxidizer,0.9985126130414088,0.21052631578947367
3,7,nan,0.8359114707282247,0.50383785080355
1,8,Acute Toxic,0.9587506197322757,0.6048632218844985
1,8,Compressed Gas,0.9989092711948439,0.45544554455445546
1,8,Corrosive,0.96,0.8392700613594709
1,8,Environmental Hazard,0.9436390679226574,0.39195549850235345
1,8,Explosive,0.999087754090233,0.08
1,8,Flammable,0.973029251363411,0.621380846325167
1,8,Health Hazard,0.9551412989588498,0.5330305532617672
1,8,Irritant,0.7704115022310362,0.8428724602668332
1,8,Oxidizer,0.9985721368368865,0.29411764705882354
1,8,nan,0.8373425880019831,0.5058440775997108
2,8,Acute Toxic,0.9591464382040298,0.6
2,8,Compressed Gas,0.9993257179121053,0.6382978723404256
2,8,Corrosive,0.96023718864033,0.8367130873849662
2,8,Environmental Hazard,0.9423687133111217,0.3763948497854077
2,8,Explosive,0.9990679041726163,0.0784313725490196
2,8,Flammable,0.9732270347453593,0.6205733558178752
2,8,Health Hazard,0.9566277962874822,0.5502776064157927
2,8,Irritant,0.7671941932413137,0.8407990561048049
2,8,Oxidizer,0.9987505949547835,0.3368421052631579
2,8,nan,0.8350190385530699,0.500869982600348
3,8,Acute Toxic,0.9599992067269554,0.6117420596727623
3,8,Compressed Gas,0.9990877359987308,0.54
3,8,Corrosive,0.961427098207203,0.8427266111425568
3,8,Environmental Hazard,0.9444510550531493,0.4046758767268863
3,8,Explosive,0.9993058860859908,0.10256410256410256
3,8,Flammable,0.9746747580517214,0.6413928671721426
